videoId,title,year,status,eventId,tapePackId,promoterId,venueId,radioId,notes
PbtOJ9o22I8,DJ Hype - Tazzmania (27.09.96),1996,verified,tazzmania-1996-09-27,,tazzmania,,,
9z4-oM_AjL4,The Edge - Happy Hardcore Volume 3 (1995) - Dougal,1995,verified,,the-edge-happy-hardcore-vol-3,the-edge,,,
LR2dYu05NZM,This Is... Hardcore (1997) - CD 3 (Mixed by DJ Vibes),1997,verified,,this-is-hardcore-1997,,,,
P4iBiwuxDbU,The Edge - Happy Hardcore Volume 8 Series 2 (1997) - Slipmatt,1997,verified,,the-edge-happy-hardcore-vol-8-series-2,the-edge,,,
kcN4Cg7J6pI,The Edge - Happy Hardcore Volume 5 Series 2 (1996) - Vibes,1996,verified,,the-edge-happy-hardcore-vol-5-series-2,the-edge,,,
WJqRAzlQ6us,The Edge - Happy Hardcore Volume 3 (1995) - Slipmatt & Seduction,1995,verified,,the-edge-happy-hardcore-vol-3,the-edge,,,
56-fDU0Y6C8,Tazzmania 'Valentines Ball' (14.02.97) - Dougal & Hixxy B2B,1997,verified,tazzmania-valentines-ball-1997,,tazzmania,,,
hNojfvc7oOo,United Dance Volume 5 (1996) - CD 1 (Slipmatt & Vibes),1996,verified,,united-dance-volume-5,united-dance,,,
xap_83QDu9w,Dance Planet 'Detonator IX' (11.11.95) - Dougal & Vibes,1995,verified,dance-planet-detonator-ix-1995,,dance-planet,,,
fztzjqOio9Y,Hardcore Happiness III (1996) - CD 2 (Mixed By DJ Slipmatt),1996,verified,,hardcore-happiness-iii,,,,
BGZnFg-YGPg,Bonkers 4 - World Frenzy (1998) - CD 3 (DJ Dougal),1998,verified,,bonkers-4-world-frenzy,,,,
jQVg3dqZqjU,Tazzmania 'Hastings Pier' (01.03.96) - DJ Vibes,1996,verified,tazzmania-hastings-pier-1996,,tazzmania,hastings-pier,,
ejAoZy0bmLE,Hardcore Heaven Volume 5 (1999) - CD 1 (Vibes & Slipmatt),1999,verified,,hardcore-heaven-volume-5,hardcore-heaven,,,
ORix0yEL0xY,Double Dipped 'Best Of' February 1995 - Dougal,1995,verified,,double-dipped-best-of-1995,,,,
10fvxpyIecA,Origin Part 1 (Summer 1994) - Slipmatt,1994,verified,,origin-part-1-1994,,,,
17VGbimht8U,Hardcore Heaven Volume One (1997) - CD 1 (Slipmatt & Dougal),1997,verified,,hardcore-heaven-volume-1,hardcore-heaven,,,
DqSp_3zrAuM,The Edge - Happy Hardcore Volume 5 Series 2 (1996) - Dougal,1996,verified,,the-edge-happy-hardcore-vol-5-series-2,the-edge,,,
aeDTyIq54EU,Kiss 100 FM - Hixxy & Dougal (17.06.97),1997,verified,kiss-100-hixxy-dougal-1997,,,,kiss-100-fm,
2hqf95rUu6c,Bonkers 7 - Millennium Fever (1999) - CD 3 (Sy),1999,verified,,bonkers-7-millennium-fever,,,,
kypvKWOjvJQ,Brisk - Set Free,1997,review,,,,,,"Confirm exact event, pack, promoter or venue before publishing."
YPdiDExbxJE,Sy & Demo - Killer,1997,review,,,,,,"Confirm exact event, pack, promoter or venue before publishing."
oFqZQbxiyVY,DJ Colin Bell - 'Turn Up The Music' - Happy Hardcore Vinyl Mix,,review,,,,,,"Confirm exact event, pack, promoter or venue before publishing."
XDMSX--9akg,Hardcore Happiness Vol. 1 (1995),1995,verified,,hardcore-happiness-vol-1,,,,
EIu28VEQ42I,Happy Hardcore Anthems (1996) - CD 1,1996,verified,,happy-hardcore-anthems-1996,,,,
qdy8oTX0OKA,Happy Hardcore Hysteria (1998) - CD 1,1998,verified,,happy-hardcore-hysteria-1998,,,,
chRFjPPoXgY,The Ultimate Happy Hardcore Collection (1996) - CD 2,1996,verified,,ultimate-happy-hardcore-collection-1996,,,,
