id,title,image,year,promoter,reason
flyer-003,Easy Lee Memorial Dance,flyer-museum-03.jpg,,Research needed,Missing confirmed year
flyer-004,Yabba-Dabba-II,flyer-museum-04.jpg,,Research needed,Missing confirmed year
flyer-005,Wonderland,flyer-museum-05.jpg,,Wonderland,Missing confirmed year
flyer-009,Freedom,flyer-museum-09.jpg,,Freedom,Missing confirmed year
flyer-010,Hypnosis,flyer-museum-10.jpg,,Hypnosis,Missing confirmed year
flyer-013,Badance / Batcave,flyer-museum-13.jpg,1989,Research needed,Promoter/event relationship needs review
flyer-014,Hardcore,flyer-museum-14.jpg,1995,Research needed,Promoter/event relationship needs review
flyer-016,Archive Flyer,flyer-museum-16.jpg,,Research needed,Missing confirmed year
flyer-017,Archive Flyer,flyer-museum-17.jpg,,Research needed,Missing confirmed year
flyer-018,Archive Flyer,flyer-museum-18.jpg,,Research needed,Missing confirmed year
flyer-019,Archive Flyer,flyer-museum-19.jpg,,Research needed,Missing confirmed year
flyer-020,Archive Flyer,flyer-museum-20.jpg,,Research needed,Missing confirmed year
flyer-021,Archive Flyer,flyer-museum-21.jpg,,Research needed,Missing confirmed year
flyer-022,Archive Flyer,flyer-museum-22.jpg,,Research needed,Missing confirmed year
flyer-023,Archive Flyer,flyer-museum-23.jpg,,Research needed,Missing confirmed year
flyer-024,Archive Flyer,flyer-museum-24.jpg,,Research needed,Missing confirmed year
flyer-025,Archive Flyer,flyer-museum-25.jpg,,Research needed,Missing confirmed year
flyer-026,Archive Flyer,flyer-museum-26.jpg,,Research needed,Missing confirmed year
flyer-027,Archive Flyer,flyer-museum-27.jpg,,Research needed,Missing confirmed year
flyer-028,Archive Flyer,flyer-museum-28.jpg,,Research needed,Missing confirmed year
flyer-029,Archive Flyer,flyer-museum-29.jpg,,Research needed,Missing confirmed year
flyer-030,Archive Flyer,flyer-museum-30.jpg,,Research needed,Missing confirmed year
flyer-031,Archive Flyer,flyer-museum-31.jpg,,Research needed,Missing confirmed year
flyer-032,Archive Flyer,flyer-museum-32.jpg,,Research needed,Missing confirmed year
flyer-033,Archive Flyer,flyer-museum-33.jpg,,Research needed,Missing confirmed year
flyer-034,Archive Flyer,flyer-museum-34.jpg,,Research needed,Missing confirmed year
flyer-035,Archive Flyer,flyer-museum-35.jpg,,Research needed,Missing confirmed year
flyer-036,Big Bad Head,flyer-museum-36.jpg,,Big Bad Head,Missing confirmed year
flyer-037,The Head,flyer-museum-37.jpg,,The Head,Missing confirmed year
flyer-038,Pleasuredome,flyer-museum-38.jpg,,Pleasuredome,Missing confirmed year
flyer-039,Slammin' Vinyl,flyer-museum-39.jpg,,Slammin' Vinyl,Missing confirmed year
flyer-040,Wonderland,flyer-museum-40.jpg,,DGF Promotions,Missing confirmed year
flyer-041,Inspiration,flyer-museum-41.jpg,,Inspiration,Missing confirmed year
flyer-042,Destiny,flyer-museum-42.jpg,,Destiny,Missing confirmed year
flyer-045,Slammin' Vinyl,flyer-museum-45.jpg,,Slammin' Vinyl,Missing confirmed year
flyer-046,Ministry of Sound,flyer-museum-46.jpg,,Ministry of Sound,Missing confirmed year
flyer-047,Ministry of Sound,flyer-museum-47.jpg,,Ministry of Sound,Missing confirmed year
flyer-048,Ministry of Sound,flyer-museum-48.jpg,,Ministry of Sound,Missing confirmed year
flyer-049,Rhythm Station,flyer-museum-49.jpg,,Rhythm Station,Missing confirmed year
flyer-050,The Mousetrap,flyer-museum-50.jpg,,The Mousetrap,Missing confirmed year
flyer-051,Equinox,flyer-museum-51.jpg,,Equinox,Missing confirmed year
flyer-052,Rave Event,flyer-museum-52.jpg,,Unknown,Missing confirmed year
flyer-053,Rave Event,flyer-museum-53.jpg,,Unknown,Missing confirmed year
flyer-054,Rave Event,flyer-museum-54.jpg,,Unknown,Missing confirmed year
flyer-055,Ministry of Sound,flyer-museum-55.jpg,,Ministry of Sound,Missing confirmed year
